"","corpusngram1","n"
"7674","bday",25
"7675","bees",25
"7676","berkeley",25
"7677","biblical",25
"7678","biology",25
"7679","bipartisan",25
"7680","bistro",25
"7681","booking",25
"7682","boulder",25
"7683","bounced",25
"7684","brewed",25
"7685","bronze",25
"7686","cabbage",25
"7687","cain",25
"7688","candle",25
"7689","caribbean",25
"7690","celtics",25
"7691","cereal",25
"7692","cheek",25
"7693","chelsea",25
"7694","chile",25
"7695","choir",25
"7696","clause",25
"7697","cocaine",25
"7698","complained",25
"7699","conferences",25
"7700","continually",25
"7701","controller",25
"7702","cookbook",25
"7703","cottage",25
"7704","councils",25
"7705","coyotes",25
"7706","crumbs",25
"7707","crunch",25
"7708","currency",25
"7709","dale",25
"7710","dated",25
"7711","day”",25
"7712","derek",25
"7713","designing",25
"7714","destroying",25
"7715","diced",25
"7716","doctrine",25
"7717","domain",25
"7718","drilling",25
"7719","driveway",25
"7720","dusty",25
"7721","dwight",25
"7722","echo",25
"7723","electronics",25
"7724","erin",25
"7725","everytime",25
"7726","execution",25
"7727","exhausting",25
"7728","filmed",25
"7729","fitted",25
"7730","fluffy",25
"7731","folder",25
"7732","frosting",25
"7733","fucked",25
"7734","funniest",25
"7735","galaxy",25
"7736","gettin",25
"7737","greatness",25
"7738","greeted",25
"7739","grind",25
"7740","heating",25
"7741","implementation",25
"7742","individually",25
"7743","inflation",25
"7744","insert",25
"7745","interact",25
"7746","invasion",25
"7747","jeffrey",25
"7748","jerusalem",25
"7749","julie",25
"7750","lace",25
"7751","layered",25
"7752","lecture",25
"7753","leonard",25
"7754","liability",25
"7755","lowered",25
"7756","luther",25
"7757","marble",25
"7758","md",25
"7759","meditation",25
"7760","monroe",25
"7761","necessity",25
"7762","niggas",25
"7763","nominated",25
"7764","nonetheless",25
"7765","offerings",25
"7766","ontario",25
"7767","openly",25
"7768","operator",25
"7769","orioles",25
"7770","oxygen",25
"7771","packaging",25
"7772","palette",25
"7773","partially",25
"7774","patterned",25
"7775","perez",25
"7776","philip",25
"7777","photographers",25
"7778","phrases",25
"7779","physician",25
"7780","pity",25
"7781","pops",25
"7782","portions",25
"7783","precise",25
"7784","probe",25
"7785","processes",25
"7786","processor",25
"7787","profession",25
"7788","pros",25
"7789","puerto",25
"7790","reactions",25
"7791","receives",25
"7792","reminiscent",25
"7793","removal",25
"7794","representation",25
"7795","riot",25
"7796","risen",25
"7797","rodriguez",25
"7798","rug",25
"7799","safer",25
"7800","sandy",25
"7801","scan",25
"7802","screw",25
"7803","sd",25
"7804","separated",25
"7805","seth",25
"7806","settings",25
"7807","severely",25
"7808","shoots",25
"7809","shortstop",25
"7810","shouting",25
"7811","skeptical",25
"7812","slap",25
"7813","slowed",25
"7814","smartphone",25
"7815","socialist",25
"7816","sparked",25
"7817","stabbed",25
"7818","sterling",25
"7819","sticker",25
"7820","stimulus",25
"7821","stoked",25
"7822","subsequently",25
"7823","superb",25
"7824","supporter",25
"7825","surf",25
"7826","surgeon",25
"7827","sustainability",25
"7828","swallow",25
"7829","template",25
"7830","testify",25
"7831","theaters",25
"7832","tissue",25
"7833","tommy",25
"7834","translated",25
"7835","tucked",25
"7836","tuna",25
"7837","victories",25
"7838","volleyball",25
"7839","wander",25
"7840","witch",25
"7841","wouldve",25
"7842","xx",25
"7843","“oh",25
"7844","15000",24
"7845","1950",24
"7846","2-1",24
"7847","29th",24
"7848","3-0",24
"7849","3-1",24
"7850","450",24
"7851","69",24
"7852","absorb",24
"7853","accompany",24
"7854","addicted",24
"7855","advances",24
"7856","airplane",24
"7857","allison",24
"7858","alter",24
"7859","ana",24
"7860","apologized",24
"7861","architectural",24
"7862","arise",24
"7863","aviation",24
"7864","bacteria",24
"7865","baseman",24
"7866","basil",24
"7867","beaches",24
"7868","bon",24
"7869","bottled",24
"7870","bounce",24
"7871","brains",24
"7872","broccoli",24
"7873","bundle",24
"7874","burton",24
"7875","castro",24
"7876","catalog",24
"7877","catcher",24
"7878","catherine",24
"7879","celery",24
"7880","charities",24
"7881","chased",24
"7882","cheering",24
"7883","christine",24
"7884","chronic",24
"7885","chunk",24
"7886","clerk",24
"7887","cliff",24
"7888","cmon",24
"7889","commitments",24
"7890","communist",24
"7891","consists",24
"7892","constructed",24
"7893","consumed",24
"7894","cooler",24
"7895","cooling",24
"7896","corrected",24
"7897","crashing",24
"7898","dana",24
"7899","dense",24
"7900","depot",24
"7901","disgusting",24
"7902","dna",24
"7903","drake",24
"7904","drawer",24
"7905","easiest",24
"7906","eclectic",24
"7907","educated",24
"7908","elevated",24
"7909","embraced",24
"7910","embracing",24
"7911","endeavor",24
"7912","enhanced",24
"7913","eugene",24
"7914","evenly",24
"7915","experimental",24
"7916","external",24
"7917","fade",24
"7918","fam",24
"7919","females",24
"7920","fictional",24
"7921","flexibility",24
"7922","folded",24
"7923","fork",24
"7924","forming",24
"7925","gabriel",24
"7926","gaps",24
"7927","grandson",24
"7928","grape",24
"7929","greeting",24
"7930","grid",24
"7931","groom",24
"7932","harvey",24
"7933","henderson",24
"7934","hitters",24
"7935","ignorant",24
"7936","il",24
"7937","illegally",24
"7938","imaginary",24
"7939","implement",24
"7940","incorporate",24
"7941","insist",24
"7942","insists",24
"7943","installation",24
"7944","instrumental",24
"7945","it’ll",24
"7946","jerseys",24
"7947","jockey",24
"7948","judy",24
"7949","juicy",24
"7950","juvenile",24
"7951","kay",24
"7952","kits",24
"7953","kno",24
"7954","kurt",24
"7955","librarian",24
"7956","likelihood",24
"7957","lindbergh",24
"7958","linebacker",24
"7959","lookin",24
"7960","lucrative",24
"7961","markers",24
"7962","mashed",24
"7963","massage",24
"7964","mcdonald",24
"7965","misconduct",24
"7966","miserable",24
"7967","mixer",24
"7968","mls",24
"7969","murdoch",24
"7970","nama",24
"7971","ne",24
"7972","neil",24
"7973","nerves",24
"7974","newsletter",24
"7975","newt",24
"7976","nicholas",24
"7977","notably",24
"7978","nw",24
"7979","obstacles",24
"7980","oops",24
"7981","opted",24
"7982","origins",24
"7983","outta",24
"7984","oxford",24
"7985","pacers",24
"7986","palin",24
"7987","par",24
"7988","part-time",24
"7989","patricia",24
"7990","pear",24
"7991","perceived",24
"7992","performer",24
"7993","performs",24
"7994","peters",24
"7995","phenomenal",24
"7996","physicians",24
"7997","pickup",24
"7998","pike",24
"7999","pill",24
"8000","pilots",24
"8001","pint",24
"8002","pioneer",24
"8003","poker",24
"8004","pricing",24
"8005","proving",24
"8006","pubs",24
"8007","racism",24
"8008","rang",24
"8009","rebuild",24
"8010","redevelopment",24
"8011","refusal",24
"8012","rehabilitation",24
"8013","rejection",24
"8014","relation",24
"8015","researching",24
"8016","rises",24
"8017","risky",24
"8018","romans",24
"8019","roosevelt",24
"8020","rosemary",24
"8021","sack",24
"8022","sanctions",24
"8023","sanders",24
"8024","sc",24
"8025","scent",24
"8026","scholars",24
"8027","scholarships",24
"8028","scrapbook",24
"8029","seasoning",24
"8030","seau",24
"8031","sensation",24
"8032","serial",24
"8033","shipped",24
"8034","shooter",24
"8035","sis",24
"8036","ski",24
"8037","slower",24
"8038","sodium",24
"8039","speeds",24
"8040","staples",24
"8041","strain",24
"8042","sucked",24
"8043","sung",24
"8044","surfaces",24
"8045","sw",24
"8046","targets",24
"8047","tbsp",24
"8048","tenants",24
"8049","thanked",24
"8050","thee",24
"8051","tire",24
"8052","tobacco",24
"8053","trademark",24
"8054","treasurer",24
"8055","treasures",24
"8056","tressel",24
"8057","uncertainty",24
"8058","undoubtedly",24
"8059","unrelated",24
"8060","uo",24
"8061","verge",24
"8062","vibrant",24
"8063","victor",24
"8064","virus",24
"8065","weighed",24
"8066","whatsoever",24
"8067","widespread",24
"8068","workplace",24
"8069","wrath",24
"8070","“not",24
"8071","“that",24
"8072","“there",24
"8073","“well",24
"8074","“we’re",24
"8075","08",23
"8076","1-1",23
"8077","10-year",23
"8078","115",23
"8079","1230",23
"8080","1962",23
"8081","5pm",23
"8082","6-2",23
"8083","83",23
"8084","84",23
"8085","98",23
"8086","abundance",23
"8087","admire",23
"8088","admits",23
"8089","advent",23
"8090","adviser",23
"8091","agencys",23
"8092","aids",23
"8093","almonds",23
"8094","aluminum",23
"8095","alumni",23
"8096","amanda",23
"8097","angles",23
"8098","applicants",23
"8099","arthritis",23
"8100","assure",23
"8101","attitudes",23
"8102","availability",23
"8103","awaiting",23
"8104","backwards",23
"8105","baptist",23
"8106","battered",23
"8107","beverly",23
"8108","billboard",23
"8109","birmingham",23
"8110","bland",23
"8111","blended",23
"8112","blocking",23
"8113","boats",23
"8114","bothered",23
"8115","bracelet",23
"8116","broadcasting",23
"8117","browned",23
"8118","bruins",23
"8119","buckeyes",23
"8120","buffet",23
"8121","bully",23
"8122","casinos",23
"8123","catholics",23
"8124","centennial",23
"8125","characteristics",23
"8126","chargers",23
"8127","chi",23
"8128","chunks",23
"8129","cia",23
"8130","claire",23
"8131","classy",23
"8132","codes",23
"8133","colonial",23
"8134","compliance",23
"8135","condemned",23
"8136","condo",23
"8137","connecticut",23
"8138","consent",23
"8139","contacts",23
"8140","cracking",23
"8141","criminals",23
"8142","cruel",23
"8143","cs",23
"8144","danced",23
"8145","dang",23
"8146","dayton",23
"8147","decorating",23
"8148","decrease",23
"8149","des",23
"8150","diane",23
"8151","diary",23
"8152","diesel",23
"8153","dim",23
"8154","disappoint",23
"8155","diseases",23
"8156","dns",23
"8157","dominate",23
"8158","donovan",23
"8159","dope",23
"8160","doubts",23
"8161","dove",23
"8162","dunn",23
"8163","duo",23
"8164","dynamics",23
"8165","elbow",23
"8166","entertain",23
"8167","est",23
"8168","evaluate",23
"8169","evident",23
"8170","examined",23
"8171","exams",23
"8172","expo",23
"8173","expose",23
"8174","extending",23
"8175","factories",23
"8176","farther",23
"8177","fave",23
"8178","ferry",23
"8179","fifteen",23
"8180","fills",23
"8181","finest",23
"8182","flaws",23
"8183","flee",23
"8184","fog",23
"8185","follow-up",23
"8186","fools",23
"8187","four-year",23
"8188","freeway",23
"8189","frenzy",23
"8190","gala",23
"8191","gen",23
"8192","generals",23
"8193","genes",23
"8194","glen",23
"8195","glossy",23
"8196","glove",23
"8197","grams",23
"8198","hammer",23
"8199","harmful",23
"8200","hay",23
"8201","headphones",23
"8202","hobby",23
"8203","hoe",23
"8204","holmes",23
"8205","homers",23
"8206","howell",23
"8207","humane",23
"8208","humour",23
"8209","hurdles",23
"8210","illustration",23
"8211","imposed",23
"8212","incentives",23
"8213","insanity",23
"8214","instagram",23
"8215","instructor",23
"8216","intervention",23
"8217","interviewing",23
"8218","investigator",23
"8219","journals",23
"8220","justify",23
"8221","kent",23
"8222","lance",23
"8223","latino",23
"8224","learns",23
"8225","lt",23
"8226","lucy",23
"8227","lungs",23
"8228","magnificent",23
"8229","malcolm",23
"8230","mantra",23
"8231","mariners",23
"8232","marking",23
"8233","meds",23
"8234","mel",23
"8235","memo",23
"8236","mentality",23
"8237","mercury",23
"8238","messy",23
"8239","missions",23
"8240","moreover",23
"8241","myth",23
"8242","neglect",23
"8243","neighboring",23
"8244","noisy",23
"8245","notices",23
"8246","noticing",23
"8247","offseason",23
"8248","oils",23
"8249","old-fashioned",23
"8250","operates",23
"8251","osama",23
"8252","outcomes",23
"8253","outline",23
"8254","oval",23
"8255","palmer",23
"8256","pathetic",23
"8257","person’",23
"8258","pirate",23
"8259","posters",23
"8260","presumably",23
"8261","prisoners",23
"8262","prix",23
"8263","productivity",23
"8264","props",23
"8265","publicity",23
"8266","questioning",23
"8267","raiders",23
"8268","rains",23
"8269","rays",23
"8270","reasonably",23
"8271","rebecca",23
"8272","reflecting",23
"8273","rehearsal",23
"8274","remainder",23
"8275","renewal",23
"8276","renewed",23
"8277","rewards",23
"8278","rib",23
"8279","rope",23
"8280","russo",23
"8281","salem",23
"8282","saucepan",23
"8283","scare",23
"8284","schemes",23
"8285","screens",23
"8286","secured",23
"8287","seldom",23
"8288","seminar",23
"8289","sharply",23
"8290","shells",23
"8291","slaves",23
"8292","slope",23
"8293","soaring",23
"8294","solved",23
"8295","statue",23
"8296","stellar",23
"8297","stiff",23
"8298","stitch",23
"8299","stitching",23
"8300","stove",23
"8301","strangely",23
"8302","stretches",23
"8303","stumbled",23
"8304","sullivan",23
"8305","sweeping",23
"8306","sweetheart",23
"8307","tapped",23
"8308","td",23
"8309","technologies",23
"8310","terrain",23
"8311","thrill",23
"8312","tray",23
"8313","tsunami",23
"8314","unaware",23
"8315","unpaid",23
"8316","unpleasant",23
"8317","varied",23
"8318","veggie",23
"8319","viable",23
"8320","vine",23
"8321","vines",23
"8322","wallet",23
"8323","waterfront",23
"8324","welcoming",23
"8325","whitney",23
"8326","wifi",23
"8327","“how",23
"8328","1965",22
"8329","1975",22
"8330","20s",22
"8331","28th",22
"8332","79",22
"8333","97",22
"8334","abt",22
"8335","abused",22
"8336","accompanying",22
"8337","accountability",22
"8338","accounting",22
"8339","adapt",22
"8340","additionally",22
"8341","adequate",22
"8342","administrations",22
"8343","admittedly",22
"8344","advisor",22
"8345","af",22
"8346","aftermath",22
"8347","agrees",22
"8348","aisle",22
"8349","ales",22
"8350","allergies",22
"8351","annoyed",22
"8352","appetizers",22
"8353","approaches",22
"8354","arrangements",22
"8355","backdrop",22
"8356","baldwin",22
"8357","bankers",22
"8358","biscuits",22
"8359","borrowed",22
"8360","bracket",22
"8361","brass",22
"8362","bugs",22
"8363","builds",22
"8364","burglary",22
"8365","caf�",22
"8366","cage",22
"8367","cancel",22
"8368","canned",22
"8369","cardboard",22
"8370","caution",22
"8371","cavaliers",22
"8372","chad",22
"8373","chilly",22
"8374","cilantro",22
"8375","civilization",22
"8376","clash",22
"8377","classics",22
"8378","clearing",22
"8379","cloudy",22
"8380","cm",22
"8381","co-workers",22
"8382","coats",22
"8383","coins",22
"8384","coloured",22
"8385","columnist",22
"8386","comforting",22
"8387","completing",22
"8388","composed",22
"8389","concentration",22
"8390","confronted",22
"8391","containers",22
"8392","contests",22
"8393","countryside",22
"8394","country’",22
"8395","criteria",22
"8396","cunningham",22
"8397","curve",22
"8398","daunting",22
"8399","daylight",22
"8400","decor",22
"8401","defended",22
"8402","descriptions",22
"8403","desserts",22
"8404","discrimination",22
"8405","disneyland",22
"8406","distinction",22
"8407","distinctive",22
"8408","doll",22
"8409","dublin",22
"8410","dumped",22
"8411","earrings",22
"8412","elegance",22
"8413","ellen",22
"8414","elvis",22
"8415","employ",22
"8416","endure",22
"8417","examining",22
"8418","exercises",22
"8419","exterior",22
"8420","fab",22
"8421","facial",22
"8422","fairness",22
"8423","favored",22
"8424","fda",22
"8425","feast",22
"8426","feminine",22
"8427","filmmakers",22
"8428","flock",22
"8429","foolish",22
"8430","formation",22
"8431","forums",22
"8432","frames",22
"8433","gateway",22
"8434","gatherings",22
"8435","genetic",22
"8436","gilbert",22
"8437","girlfriends",22
"8438","glance",22
"8439","gluten",22
"8440","goalie",22
"8441","grabs",22
"8442","grains",22
"8443","gregory",22
"8444","groceries",22
"8445","hahah",22
"8446","happier",22
"8447","hatred",22
"8448","heather",22
"8449","high-profile",22
"8450","historically",22
"8451","hitchcock",22
"8452","holocaust",22
"8453","homie",22
"8454","hurdle",22
"8455","illusion",22
"8456","imma",22
"8457","impacts",22
"8458","infinite",22
"8459","initiated",22
"8460","initiatives",22
"8461","intends",22
"8462","intensive",22
"8463","internship",22
"8464","intrigued",22
"8465","ironic",22
"8466","irony",22
"8467","isaac",22
"8468","iv",22
"8469","jared",22
"8470","jobless",22
"8471","joins",22
"8472","joked",22
"8473","jumps",22
"8474","kickoff",22
"8475","kitty",22
"8476","kucinich",22
"8477","lesbian",22
"8478","licensed",22
"8479","lifting",22
"8480","limitations",22
"8481","listing",22
"8482","lloyd",22
"8483","mango",22
"8484","manufacturer",22
"8485","manuscript",22
"8486","marching",22
"8487","marion",22
"8488","marriages",22
"8489","masterpiece",22
"8490","median",22
"8491","medina",22
"8492","mega",22
"8493","memoir",22
"8494","merger",22
"8495","michaels",22
"8496","monument",22
"8497","mound",22
"8498","natalie",22
"8499","nato",22
"8500","nerve",22
"8501","nod",22
"8502","obligations",22
"8503","observations",22
"8504","oscars",22
"8505","overweight",22
"8506","oysters",22
"8507","parma",22
"8508","parmesan",22
"8509","passport",22
"8510","payne",22
"8511","peaks",22
"8512","penguins",22
"8513","perfume",22
"8514","peyton",22
"8515","pineapple",22
"8516","pinot",22
"8517","playground",22
"8518","playlist",22
"8519","poems",22
"8520","poised",22
"8521","portugal",22
"8522","predictable",22
"8523","presidency",22
"8524","processed",22
"8525","proudly",22
"8526","psychological",22
"8527","pushes",22
"8528","pussy",22
"8529","qualities",22
"8530","quarterly",22
"8531","questionable",22
"8532","ranger",22
"8533","rebellion",22
"8534","recipient",22
"8535","reckless",22
"8536","recreational",22
"8537","refuge",22
"8538","rehab",22
"8539","reid",22
"8540","remembering",22
"8541","renovation",22
"8542","repeating",22
"8543","resolutions",22
"8544","resting",22
"8545","restrictions",22
"8546","ritual",22
"8547","rubbing",22
"8548","ruth",22
"8549","salty",22
"8550","screamed",22
"8551","searched",22
"8552","selfish",22
"8553","sew",22
"8554","shakes",22
"8555","sharon",22
"8556","shave",22
"8557","sierra",22
"8558","signals",22
"8559","singled",22
"8560","sinking",22
"8561","sipping",22
"8562","smash",22
"8563","spun",22
"8564","standout",22
"8565","stating",22
"8566","steering",22
"8567","stephanie",22
"8568","stint",22
"8569","stretching",22
"8570","successes",22
"8571","supplied",22
"8572","swag",22
"8573","sweeney",22
"8574","swinging",22
"8575","syracuse",22
"8576","tactics",22
"8577","taliban",22
"8578","tapes",22
"8579","tee",22
"8580","thorough",22
"8581","three-year",22
"8582","tide",22
"8583","tiles",22
"8584","toasted",22
"8585","tones",22
"8586","topping",22
"8587","tracy",22
"8588","trader",22
"8589","treaty",22
"8590","trilogy",22
"8591","trunk",22
"8592","turnout",22
"8593","umbrella",22
"8594","underlying",22
"8595","unified",22
"8596","universitys",22
"8597","unusually",22
"8598","usc",22
"8599","utilize",22
"8600","vague",22
"8601","villages",22
"8602","vincent",22
"8603","vista",22
"8604","wainwright",22
"8605","watering",22
"8606","whereas",22
"8607","wo",22
"8608","woman’",22
"8609","wordpress",22
"8610","yu",22
"8611","zip",22
"8612","“so",22
"8613","-",21
"8614","1968",21
"8615","1969",21
"8616","1973",21
"8617","1983",21
"8618","330",21
"8619","360",21
"8620","4000",21
"8621","6-4",21
"8622","74",21
"8623","8pm",21
"8624","abbey",21
"8625","abraham",21
"8626","abv",21
"8627","accomplishment",21
"8628","accounted",21
"8629","accustomed",21
"8630","achieving",21
"8631","adjacent",21
"8632","advise",21
"8633","advisers",21
"8634","aggressively",21
"8635","agreements",21
"8636","aims",21
"8637","alas",21
"8638","america’",21
"8639","animation",21
"8640","annapolis",21
"8641","anthem",21
"8642","appearing",21
"8643","arch",21
"8644","argues",21
"8645","ashley",21
"8646","assess",21
"8647","asshole",21
"8648","backgrounds",21
"8649","balloon",21
"8650","beads",21
"8651","bella",21
"8652","bernard",21
"8653","beta",21
"8654","beverages",21
"8655","bidding",21
"8656","bites",21
"8657","blair",21
"8658","blossom",21
"8659","bonuses",21
"8660","budgets",21
"8661","capt",21
"8662","casey",21
"8663","chaotic",21
"8664","cheesecake",21
"8665","civilian",21
"8666","civilians",21
"8667","clackamas",21
"8668","clips",21
"8669","cohen",21
"8670","commentary",21
"8671","commissions",21
"8672","commonwealth",21
"8673","complications",21
"8674","congressman",21
"8675","convey",21
"8676","costumes",21
"8677","counterparts",21
"8678","cps",21
"8679","cricket",21
"8680","cricut",21
"8681","cult",21
"8682","debating",21
"8683","declare",21
"8684","declining",21
"8685","delegates",21
"8686","deleted",21
"8687","destiny",21
"8688","dh",21
"8689","directing",21
"8690","dis",21
"8691","distressed",21
"8692","ditto",21
"8693","diving",21
"8694","dodge",21
"8695","dragged",21
"8696","duh",21
"8697","dye",21
"8698","eh",21
"8699","elder",21
"8700","elimination",21
"8701","elliott",21
"8702","endangered",21
"8703","equipped",21
"8704","evan",21
"8705","everyone’",21
"8706","extends",21
"8707","fellowship",21
"8708","flames",21
"8709","fleet",21
"8710","flies",21
"8711","florence",21
"8712","flu",21
"8713","fm",21
"8714","folding",21
"8715","freebie",21
"8716","frightened",21
"8717","fulfilling",21
"8718","futures",21
"8719","ghosts",21
"8720","gloucester",21
"8721","governance",21
"8722","grease",21
"8723","groves",21
"8724","guitarist",21
"8725","halls",21
"8726","hangs",21
"8727","haunted",21
"8728","helm",21
"8729","highland",21
"8730","highs",21
"8731","hikes",21
"8732","hiv",21
"8733","horn",21
"8734","hospitality",21
"8735","households",21
"8736","identical",21
"8737","identification",21
"8738","immense",21
"8739","influential",21
"8740","inserted",21
"8741","inspires",21
"8742","intake",21
"8743","integrated",21
"8744","interaction",21
"8745","intern",21
"8746","internationally",21
"8747","intimate",21
"8748","inventory",21
"8749","ipads",21
"8750","ironically",21
"8751","jenny",21
"8752","jpmorgan",21
"8753","jumper",21
"8754","justified",21
"8755","kelley",21
"8756","kenneth",21
"8757","knit",21
"8758","lager",21
"8759","licensing",21
"8760","liner",21
"8761","lingering",21
"8762","locate",21
"8763","majors",21
"8764","makeover",21
"8765","malaysia",21
"8766","marilyn",21
"8767","marina",21
"8768","mechanical",21
"8769","medieval",21
"8770","melody",21
"8771","merit",21
"8772","mlb",21
"8773","monica",21
"8774","mormon",21
"8775","morrison",21
"8776","motel",21
"8777","mozzarella",21
"8778","mp",21
"8779","muse",21
"8780","neon",21
"8781","newer",21
"8782","niece",21
"8783","non-profit",21
"8784","notified",21
"8785","olivia",21
"8786","one-year",21
"8787","organ",21
"8788","orientation",21
"8789","oswego",21
"8790","ounce",21
"8791","outs",21
"8792","overhaul",21
"8793","pandora",21
"8794","parole",21
"8795","passions",21
"8796","paula",21
"8797","peer",21
"8798","pillows",21
"8799","planner",21
"8800","plotting",21
"8801","plz",21
"8802","pools",21
"8803","postal",21
"8804","prayed",21
"8805","preference",21
"8806","prepares",21
"8807","preseason",21
"8808","prisons",21
"8809","profitable",21
"8810","projections",21
"8811","prop",21
"8812","purely",21
"8813","pursued",21
"8814","receivers",21
"8815","recruit",21
"8816","relies",21
"8817","relying",21
"8818","remotely",21
"8819","rescued",21
"8820","researcher",21
"8821","resignation",21
"8822","respectful",21
"8823","revised",21
"8824","rhetoric",21
"8825","routinely",21
"8826","ruins",21
"8827","searches",21
"8828","seasoned",21
"8829","segments",21
"8830","shady",21
"8831","shannon",21
"8832","shotgun",21
"8833","sip",21
"8834","sleeves",21
"8835","slick",21
"8836","slipping",21
"8837","sony",21
"8838","sp",21
"8839","spaghetti",21
"8840","sparks",21
"8841","spider",21
"8842","sponge",21
"8843","stan",21
"8844","stevens",21
"8845","stew",21
"8846","summary",21
"8847","superstar",21
"8848","sweden",21
"8849","tablets",21
"8850","takeover",21
"8851","thesis",21
"8852","timeless",21
"8853","tix",21
"8854","toddler",21
"8855","toms",21
"8856","trayvon",21
"8857","tryna",21
"8858","tubes",21
"8859","tweeps",21
"8860","unacceptable",21
"8861","updating",21
"8862","vietnamese",21
"8863","vip",21
"8864","vivid",21
"8865","vowed",21
"8866","walkers",21
"8867","warmer",21
"8868","warnings",21
"8869","warrants",21
"8870","weighing",21
"8871","widow",21
"8872","willie",21
"8873","windsor",21
"8874","winery",21
"8875","worthless",21
"8876","writings",21
"8877","xo",21
"8878","yields",21
"8879","“all",21
"8880","“for",21
"8881","“is",21
"8882","“our",21
"8883","102",20
"8884","17-year-old",20
"8885","2015",20
"8886","40000",20
"8887","7pm",20
"8888","96",20
"8889","ac",20
"8890","academics",20
"8891","accurately",20
"8892","acquire",20
"8893","affiliated",20
"8894","aiming",20
"8895","ally",20
"8896","aloud",20
"8897","amusing",20
"8898","andrews",20
"8899","arbor",20
"8900","arguably",20
"8901","assessments",20
"8902","attic",20
"8903","au",20
"8904","auburn",20
"8905","auditorium",20
"8906","austerity",20
"8907","authorized",20
"8908","avocado",20
"8909","bachelor",20
"8910","barbecue",20
"8911","barking",20
"8912","bedrooms",20
"8913","belonged",20
"8914","bersih",20
"8915","binding",20
"8916","bing",20
"8917","blanc",20
"8918","bombs",20
"8919","bonnie",20
"8920","borough",20
"8921","bs",20
"8922","bynum",20
"8923","campaigning",20
"8924","cathy",20
"8925","celebrations",20
"8926","champ",20
"8927","charitable",20
"8928","charts",20
"8929","cheeses",20
"8930","chinas",20
"8931","chronicles",20
"8932","cnn",20
"8933","cognitive",20
"8934","coin",20
"8935","colleague",20
"8936","coloring",20
"8937","combinations",20
"8938","commissioned",20
"8939","compiled",20
"8940","condensed",20
"8941","confession",20
"8942","consequence",20
"8943","corzine",20
"8944","cracks",20
"8945","crappy",20
"8946","crawford",20
"8947","daniels",20
"8948","declaration",20
"8949","deepest",20
"8950","defendant",20
"8951","defenseman",20
"8952","deliberately",20
"8953","demonstrations",20
"8954","dentist",20
"8955","dependent",20
"8956","detained",20
"8957","detect",20
"8958","diamonds",20
"8959","dignity",20
"8960","dime",20
"8961","dimension",20
"8962","discovering",20
"8963","diy",20
"8964","doe",20
"8965","dooley",20
"8966","dose",20
"8967","downward",20
"8968","drills",20
"8969","drying",20
"8970","dubbed",20
"8971","edwardsville",20
"8972","eggplant",20
"8973","egyptian",20
"8974","eldest",20
"8975","encountered",20
"8976","encourages",20
"8977","endorse",20
"8978","entity",20
"8979","envy",20
"8980","euros",20
"8981","exceeded",20
"8982","exclusively",20
"8983","exercising",20
"8984","experiments",20
"8985","fats",20
"8986","feathers",20
"8987","filmmaker",20
"8988","flair",20
"8989","flick",20
"8990","flooding",20
"8991","flown",20
"8992","fords",20
"8993","foundations",20
"8994","founding",20
"8995","framed",20
"8996","freelance",20
"8997","frogs",20
"8998","functional",20
"8999","functioning",20
"9000","gambling",20
"9001","gonzalez",20
"9002","gossip",20
"9003","gown",20
"9004","grammy",20
"9005","graphics",20
"9006","guild",20
"9007","hallway",20
"9008","hank",20
"9009","hannah",20
"9010","hedge",20
"9011","heel",20
"9012","hips",20
"9013","hoboken",20
"9014","ideological",20
"9015","inability",20
"9016","indicted",20
"9017","infections",20
"9018","insult",20
"9019","insurers",20
"9020","intend",20
"9021","invention",20
"9022","isolation",20
"9023","jackie",20
"9024","jericho",20
"9025","joey",20
"9026","johnston",20
"9027","julian",20
"9028","justices",20
"9029","kraft",20
"9030","lacrosse",20
"9031","leash",20
"9032","likewise",20
"9033","loaf",20
"9034","mario",20
"9035","mccarthy",20
"9036","metaphor",20
"9037","mets",20
"9038","mia",20
"9039","milestone",20
"9040","miniature",20
"9041","miracles",20
"9042","mmfcl",20
"9043","mock",20
"9044","modified",20
"9045","momma",20
"9046","mortgages",20
"9047","mosque",20
"9048","mural",20
"9049","murders",20
"9050","myers",20
"9051","namely",20
"9052","nasa",20
"9053","niche",20
"9054","noir",20
"9055","now”",20
"9056","offset",20
"9057","one-time",20
"9058","opt",20
"9059","oregons",20
"9060","outrageous",20
"9061","owl",20
"9062","oyster",20
"9063","palo",20
"9064","parchment",20
"9065","parish",20
"9066","patty",20
"9067","peeled",20
"9068","persuaded",20
"9069","physics",20
"9070","planting",20
"9071","podcast",20
"9072","popping",20
"9073","posed",20
"9074","preferably",20
"9075","preserving",20
"9076","programme",20
"9077","promotional",20
"9078","prompt",20
"9079","promptly",20
"9080","propose",20
"9081","pursuing",20
"9082","raced",20
"9083","raspberry",20
"9084","rat",20
"9085","realization",20
"9086","reasoning",20
"9087","recommends",20
"9088","recordings",20
"9089","redemption",20
"9090","refund",20
"9091","remark",20
"9092","resign",20
"9093","responds",20
"9094","revival",20
"9095","richards",20
"9096","ringing",20
"9097","rinse",20
"9098","rivera",20
"9099","robbed",20
"9100","robertson",20
"9101","rochester",20
"9102","rocked",20
"9103","sadness",20
"9104","satisfy",20
"9105","scarf",20
"9106","scenarios",20
