"","corpusngram4","n"
"15499","the bottom half of",3
"15500","the boys to the",3
"15501","the bureau of labor",3
"15502","the bush tax cuts",3
"15503","the bush-era tax cuts",3
"15504","the cabin in the",3
"15505","the caf� du nord",3
"15506","the case of a",3
"15507","the case of the",3
"15508","the center comes out",3
"15509","the center of attention",3
"15510","the center of town",3
"15511","the chamber of commerce",3
"15512","the character of a",3
"15513","the chevrolet detroit belle",3
"15514","the child sex abuse",3
"15515","the children off the",3
"15516","the church of england",3
"15517","the cities of juda",3
"15518","the city has no",3
"15519","the city of cleveland",3
"15520","the city of minneapolis",3
"15521","the civil rights movement",3
"15522","the collective bargaining power",3
"15523","the color of the",3
"15524","the color of their",3
"15525","the columbia river gorge",3
"15526","the comments section below",3
"15527","the company plans to",3
"15528","the complexity of the",3
"15529","the conclusion of the",3
"15530","the conditions of the",3
"15531","the congressional black caucus",3
"15532","the convenience of the",3
"15533","the county democratic party",3
"15534","the county prosecutors office",3
"15535","the course of this",3
"15536","the creation of the",3
"15537","the culmination of a",3
"15538","the cumberland county jail",3
"15539","the current state of",3
"15540","the cuyahoga valley national",3
"15541","the date of the",3
"15542","the day he was",3
"15543","the day i went",3
"15544","the day with my",3
"15545","the decline of the",3
"15546","the definition of a",3
"15547","the demands of the",3
"15548","the department of defense",3
"15549","the descriptions of the",3
"15550","the design of the",3
"15551","the destruction of the",3
"15552","the details of the",3
"15553","the diversity of the",3
"15554","the doctrine of the",3
"15555","the domaine de pouy",3
"15556","the door to the",3
"15557","the early morning hours",3
"15558","the early part of",3
"15559","the early years of",3
"15560","the eastern part of",3
"15561","the edward jones dome",3
"15562","the effects of this",3
"15563","the elephant in the",3
"15564","the end of 2008",3
"15565","the end of 2010",3
"15566","the end of 2011",3
"15567","the end of 2013",3
"15568","the end of august",3
"15569","the end of july",3
"15570","the end of june",3
"15571","the end of their",3
"15572","the ends of the",3
"15573","the entirety of this",3
"15574","the essex county sheriff’",3
"15575","the eve of the",3
"15576","the event at the",3
"15577","the event will take",3
"15578","the exception of a",3
"15579","the exception of the",3
"15580","the extent to which",3
"15581","the exterior of the",3
"15582","the fact i have",3
"15583","the fact that an",3
"15584","the fact that everyone",3
"15585","the fact that im",3
"15586","the fact that its",3
"15587","the fact that theyre",3
"15588","the fact that this",3
"15589","the fact that you",3
"15590","the family of god",3
"15591","the family of the",3
"15592","the fat in the",3
"15593","the federal government to",3
"15594","the federal reserve bank",3
"15595","the feet of the",3
"15596","the field and he",3
"15597","the field at the",3
"15598","the filming of the",3
"15599","the final game of",3
"15600","the fire in the",3
"15601","the first and second",3
"15602","the first batch of",3
"15603","the first floor of",3
"15604","the first in the",3
"15605","the first inning and",3
"15606","the first of several",3
"15607","the first of three",3
"15608","the first place i",3
"15609","the first place the",3
"15610","the first six months",3
"15611","the first step to",3
"15612","the first sunday of",3
"15613","the first thing to",3
"15614","the first thing you",3
"15615","the first time i’ve",3
"15616","the first time she",3
"15617","the first two years",3
"15618","the flap of the",3
"15619","the focus of the",3
"15620","the focus on the",3
"15621","the follow i love",3
"15622","the follow looking forward",3
"15623","the follow love your",3
"15624","the foot of the",3
"15625","the formation of a",3
"15626","the formation of the",3
"15627","the former no 1",3
"15628","the fourth be with",3
"15629","the fridge for a",3
"15630","the friend of god",3
"15631","the funny thing is",3
"15632","the future will be",3
"15633","the game and we",3
"15634","the game is a",3
"15635","the game of life",3
"15636","the girls and the",3
"15637","the glory of god",3
"15638","the good thing is",3
"15639","the gop presidential nomination",3
"15640","the government and the",3
"15641","the government has never",3
"15642","the great ocean road",3
"15643","the greatest number of",3
"15644","the green bay packers",3
"15645","the guy in the",3
"15646","the guys on the",3
"15647","the health care industry",3
"15648","the health insurance industry",3
"15649","the heart of a",3
"15650","the heat to medium",3
"15651","the hell am i",3
"15652","the hell do you",3
"15653","the help of his",3
"15654","the here and now",3
"15655","the heyday of the",3
"15656","the high court in",3
"15657","the hilton hotel birmingham",3
"15658","the history of a",3
"15659","the home was sold",3
"15660","the house and we",3
"15661","the house homeland security",3
"15662","the house is a",3
"15663","the house of delegates",3
"15664","the ides of march",3
"15665","the impact on the",3
"15666","the indiana state fair",3
"15667","the inside of a",3
"15668","the inside of my",3
"15669","the institution of marriage",3
"15670","the intention of the",3
"15671","the interests of the",3
"15672","the internal revenue service",3
"15673","the intricacies of the",3
"15674","the inventor of the",3
"15675","the issue on the",3
"15676","the issue to the",3
"15677","the jersey journal reports",3
"15678","the key is to",3
"15679","the key to the",3
"15680","the kids are all",3
"15681","the kind of person",3
"15682","the kind of thing",3
"15683","the kingdom of god",3
"15684","the kitchen and the",3
"15685","the kitchen at the",3
"15686","the ku klux klan",3
"15687","the labor department said",3
"15688","the lack of an",3
"15689","the last 2 weeks",3
"15690","the last few decades",3
"15691","the last four games",3
"15692","the last of this",3
"15693","the last post i",3
"15694","the last thing i",3
"15695","the last two months",3
"15696","the late 1950s and",3
"15697","the late 1960s and",3
"15698","the late 1970s and",3
"15699","the late 19th century",3
"15700","the latter part of",3
"15701","the law and the",3
"15702","the law in the",3
"15703","the lawsuit was filed",3
"15704","the level of a",3
"15705","the life of the",3
"15706","the likelihood that the",3
"15707","the lives of people",3
"15708","the living room with",3
"15709","the long list of",3
"15710","the lookout for a",3
"15711","the lord does not",3
"15712","the los angeles clippers",3
"15713","the los angeles county",3
"15714","the loss of her",3
"15715","the loss of one",3
"15716","the love and support",3
"15717","the low end of",3
"15718","the lower level of",3
"15719","the lowest level since",3
"15720","the luck of the",3
"15721","the main image with",3
"15722","the main problem with",3
"15723","the man of the",3
"15724","the man who killed",3
"15725","the manager of the",3
"15726","the market for a",3
"15727","the may 8 primary",3
"15728","the meaning of a",3
"15729","the mere fact that",3
"15730","the midst of all",3
"15731","the midst of it",3
"15732","the missouri gaming commission",3
"15733","the money in the",3
"15734","the money to build",3
"15735","the month of february",3
"15736","the month of january",3
"15737","the more love and",3
"15738","the more money you",3
"15739","the morning and im",3
"15740","the morning of the",3
"15741","the most expensive part",3
"15742","the most important part",3
"15743","the most of it",3
"15744","the most part he",3
"15745","the mother of the",3
"15746","the mouth of the",3
"15747","the museum of contemporary",3
"15748","the nail on the",3
"15749","the names on the",3
"15750","the national football league",3
"15751","the national highway traffic",3
"15752","the national institute of",3
"15753","the national retail federation",3
"15754","the nearest whole number",3
"15755","the new collective bargaining",3
"15756","the new year with",3
"15757","the next hour i",3
"15758","the next level the",3
"15759","the next seven days",3
"15760","the next six weeks",3
"15761","the next step in",3
"15762","the next ten years",3
"15763","the next thing i",3
"15764","the next three days",3
"15765","the next three months",3
"15766","the next time you",3
"15767","the next two months",3
"15768","the next two weeks",3
"15769","the next week or",3
"15770","the night before the",3
"15771","the no 2 seed",3
"15772","the north and south",3
"15773","the northwest corner of",3
"15774","the number of children",3
"15775","the number of times",3
"15776","the nurses in the",3
"15777","the occupy wall street",3
"15778","the oil in a",3
"15779","the one hand and",3
"15780","the one hand i",3
"15781","the one i just",3
"15782","the one she had",3
"15783","the one thing i",3
"15784","the ones that i",3
"15785","the only one lol",3
"15786","the only part of",3
"15787","the only people that",3
"15788","the only place in",3
"15789","the only reason i",3
"15790","the only thing he",3
"15791","the only thing left",3
"15792","the only thing to",3
"15793","the oregon department of",3
"15794","the oregon justice resource",3
"15795","the organization of the",3
"15796","the origins of the",3
"15797","the other day he",3
"15798","the other half of",3
"15799","the other hand i",3
"15800","the other hand was",3
"15801","the other thing i",3
"15802","the oven to 350",3
"15803","the owner of a",3
"15804","the palm beach county",3
"15805","the pan from the",3
"15806","the pan with the",3
"15807","the parent company of",3
"15808","the park as if",3
"15809","the part of me",3
"15810","the part of my",3
"15811","the party in the",3
"15812","the passage of the",3
"15813","the past 30 years",3
"15814","the past couple years",3
"15815","the past several months",3
"15816","the past several weeks",3
"15817","the past six years",3
"15818","the past three months",3
"15819","the past two decades",3
"15820","the past year and",3
"15821","the past year or",3
"15822","the past year the",3
"15823","the path of least",3
"15824","the path to the",3
"15825","the peabody opera house",3
"15826","the people around you",3
"15827","the people behind the",3
"15828","the people of god",3
"15829","the people of ohio",3
"15830","the people of this",3
"15831","the people who will",3
"15832","the person in the",3
"15833","the person who has",3
"15834","the phone with his",3
"15835","the photo i took",3
"15836","the picture on the",3
"15837","the play by play",3
"15838","the player of the",3
"15839","the playoffs for the",3
"15840","the point that i",3
"15841","the point where they",3
"15842","the portland police bureau",3
"15843","the possibilities are endless",3
"15844","the possibility of a",3
"15845","the possibility that the",3
"15846","the post office and",3
"15847","the pot and cook",3
"15848","the potential loss of",3
"15849","the power and the",3
"15850","the power to change",3
"15851","the presence of a",3
"15852","the presence of the",3
"15853","the previous record of",3
"15854","the previous two seasons",3
"15855","the problem is the",3
"15856","the problem with this",3
"15857","the project which will",3
"15858","the proud owner of",3
"15859","the provisions of the",3
"15860","the purchase of a",3
"15861","the purpose of this",3
"15862","the question in my",3
"15863","the question is how",3
"15864","the question is not",3
"15865","the question of how",3
"15866","the real issue is",3
"15867","the reason i am",3
"15868","the record for most",3
"15869","the regular season and",3
"15870","the renovation of the",3
"15871","the republican presidential nomination",3
"15872","the request of a",3
"15873","the resonance of the",3
"15874","the rest of that",3
"15875","the result of a",3
"15876","the result was a",3
"15877","the results of this",3
"15878","the resurrection of jesus",3
"15879","the rhythm of my",3
"15880","the right hand side",3
"15881","the right place at",3
"15882","the roman catholic church",3
"15883","the root cause of",3
"15884","the rules of the",3
"15885","the safety of places",3
"15886","the sake of a",3
"15887","the sake of their",3
"15888","the same age and",3
"15889","the same age as",3
"15890","the same as a",3
"15891","the same as before",3
"15892","the same day i",3
"15893","the same is true",3
"15894","the same level of",3
"15895","the same man who",3
"15896","the same page as",3
"15897","the same period of",3
"15898","the same thing but",3
"15899","the same thing on",3
"15900","the same thing that",3
"15901","the same time a",3
"15902","the same type of",3
"15903","the san andreas fault",3
"15904","the san antonio spurs",3
"15905","the san diego city",3
"15906","the san diego county",3
"15907","the san diego zoo",3
"15908","the san francisco bay",3
"15909","the scene and was",3
"15910","the scene of an",3
"15911","the season and the",3
"15912","the second period and",3
"15913","the second round the",3
"15914","the seeds from the",3
"15915","the sense of community",3
"15916","the shade of the",3
"15917","the shadows of the",3
"15918","the sheriffs office said",3
"15919","the show has been",3
"15920","the simple fact is",3
"15921","the site of a",3
"15922","the sixth consecutive year",3
"15923","the size of my",3
"15924","the size of their",3
"15925","the size of your",3
"15926","the son of god",3
"15927","the sound of a",3
"15928","the sound of it",3
"15929","the southern tip of",3
"15930","the specifics of the",3
"15931","the spirit of god",3
"15932","the spread of the",3
"15933","the st louis blues",3
"15934","the st louis rams",3
"15935","the stage for the",3
"15936","the stairs and going",3
"15937","the star of the",3
"15938","the start of training",3
"15939","the state of california",3
"15940","the state of illinois",3
"15941","the state university of",3
"15942","the state would be",3
"15943","the states highest court",3
"15944","the statue of liberty",3
"15945","the status of the",3
"15946","the status quo and",3
"15947","the story is told",3
"15948","the street it is",3
"15949","the streets of new",3
"15950","the students in the",3
"15951","the study also found",3
"15952","the sun was blazing",3
"15953","the supreme court the",3
"15954","the tail end of",3
"15955","the tampa bay rays",3
"15956","the task force is",3
"15957","the team with the",3
"15958","the theme of the",3
"15959","the things i have",3
"15960","the things i love",3
"15961","the things of god",3
"15962","the things that i",3
"15963","the third and fourth",3
"15964","the time and i",3
"15965","the time and the",3
"15966","the time here are",3
"15967","the time i got",3
"15968","the time i had",3
"15969","the time i realized",3
"15970","the time i thought",3
"15971","the time in the",3
"15972","the time is right",3
"15973","the time it is",3
"15974","the time it takes",3
"15975","the time of year",3
"15976","the time to go",3
"15977","the time to make",3
"15978","the time to stop",3
"15979","the time to take",3
"15980","the time we got",3
"15981","the time we were",3
"15982","the toast of the",3
"15983","the tone for the",3
"15984","the top of her",3
"15985","the top of his",3
"15986","the top of this",3
"15987","the tops of the",3
"15988","the total cost of",3
"15989","the tour of california",3
"15990","the transportation security administration",3
"15991","the true nature of",3
"15992","the true story of",3
"15993","the true value of",3
"15994","the twists and turns",3
"15995","the type of person",3
"15996","the tyranny of the",3
"15997","the united kingdom and",3
"15998","the united states may",3
"15999","the united states said",3
"16000","the united states when",3
"16001","the united states would",3
"16002","the university of calgary",3
"16003","the university of cincinnati",3
"16004","the university of minnesota",3
"16005","the university of new",3
"16006","the university of oregon",3
"16007","the university of washington",3
"16008","the upper left corner",3
"16009","the upper reaches of",3
"16010","the us bureau of",3
"16011","the us court of",3
"16012","the us virgin islands",3
"16013","the use of the",3
"16014","the very beginning of",3
"16015","the very first time",3
"16016","the very idea of",3
"16017","the very last step",3
"16018","the view of the",3
"16019","the war on drugs",3
"16020","the warm up motion",3
"16021","the way down to",3
"16022","the way he was",3
"16023","the way i do",3
"16024","the way i feel",3
"16025","the way i have",3
"16026","the way if you",3
"16027","the way its going",3
"16028","the way out to",3
"16029","the way that i",3
"16030","the way this is",3
"16031","the way through the",3
"16032","the way to a",3
"16033","the way we do",3
"16034","the way you want",3
"16035","the week i am",3
"16036","the western conference finals",3
"16037","the white house has",3
"16038","the whole country the",3
"16039","the whole purpose of",3
"16040","the winners of the",3
"16041","the wisdom of the",3
"16042","the woman in the",3
"16043","the work as it",3
"16044","the work on the",3
"16045","the world around him",3
"16046","the world around you",3
"16047","the world i know",3
"16048","the world of the",3
"16049","the world really need",3
"16050","the world right now",3
"16051","the world seems to",3
"16052","the world to know",3
"16053","the world will be",3
"16054","the world would be",3
"16055","the worlds a stage",3
"16056","the worst day of",3
"16057","the worst part about",3
"16058","the worst part is",3
"16059","the worst thing about",3
"16060","the wrong way it",3
"16061","the year as a",3
"16062","the year at the",3
"16063","the young man and",3
"16064","theatre of st louis",3
"16065","their 20s and 30s",3
"16066","their point of view",3
"16067","their right mind would",3
"16068","their way into the",3
"16069","their way through a",3
"16070","them and they have",3
"16071","them as well as",3
"16072","them at the end",3
"16073","them he said a",3
"16074","them in front of",3
"16075","them in the oven",3
"16076","them this is the",3
"16077","them to do the",3
"16078","them to go to",3
"16079","then all of a",3
"16080","then i realized that",3
"16081","then it would be",3
"16082","then there is a",3
"16083","then there was the",3
"16084","then there were the",3
"16085","there are any other",3
"16086","there are many ways",3
"16087","there are millions of",3
"16088","there are no more",3
"16089","there are no words",3
"16090","there are only two",3
"16091","there are several varieties",3
"16092","there are so few",3
"16093","there are some things",3
"16094","there are times i",3
"16095","there are two things",3
"16096","there are two ways",3
"16097","there could be a",3
"16098","there for a while",3
"16099","there have been some",3
"16100","there is a certain",3
"16101","there is a different",3
"16102","there is a good",3
"16103","there is a lesson",3
"16104","there is a misconception",3
"16105","there is a special",3
"16106","there is a time",3
"16107","there is also the",3
"16108","there is always hope",3
"16109","there is no evidence",3
"16110","there is no indication",3
"16111","there is no need",3
"16112","there is no one",3
"16113","there is no question",3
"16114","there is not much",3
"16115","there is simply no",3
"16116","there is some sort",3
"16117","there is something a",3
"16118","there is something about",3
"16119","there is something so",3
"16120","there is still hope",3
"16121","there may be a",3
"16122","there may be more",3
"16123","there may be other",3
"16124","there might be a",3
"16125","there really is a",3
"16126","there seems to be",3
"16127","there used to be",3
"16128","there was a little",3
"16129","there was a pretty",3
"16130","there was always a",3
"16131","there was no reason",3
"16132","there was plenty of",3
"16133","there was talk of",3
"16134","there we have it",3
"16135","there were plenty of",3
"16136","there were too many",3
"16137","there will be an",3
"16138","there will be new",3
"16139","there will not be",3
"16140","there will only ever",3
"16141","therefore is not an",3
"16142","theres a lot to",3
"16143","theres an app for",3
"16144","theres gonna be a",3
"16145","theres no question that",3
"16146","theres no way to",3
"16147","theres nothing wrong with",3
"16148","there’ going to be",3
"16149","there’ never been a",3
"16150","these are some of",3
"16151","they also have a",3
"16152","they are a great",3
"16153","they are able to",3
"16154","they are better than",3
"16155","they are for the",3
"16156","they are great for",3
"16157","they are meant to",3
"16158","they are no longer",3
"16159","they are not alone",3
"16160","they are part of",3
"16161","they are ready to",3
"16162","they are supposed to",3
"16163","they are trying to",3
"16164","they can be a",3
"16165","they can do it",3
"16166","they can do that",3
"16167","they can have the",3
"16168","they can make it",3
"16169","they can only be",3
"16170","they could have been",3
"16171","they didnt have to",3
"16172","they didnt know what",3
"16173","they didn’ know what",3
"16174","they didn’ want to",3
"16175","they do not want",3
"16176","they do they will",3
"16177","they dont have the",3
"16178","they dont need to",3
"16179","they don’ have a",3
"16180","they don’ have the",3
"16181","they don’ want to",3
"16182","they fall in love",3
"16183","they fought for their",3
"16184","they get a lot",3
"16185","they had a good",3
"16186","they had to do",3
"16187","they have a lot",3
"16188","they have been a",3
"16189","they have the right",3
"16190","they have time to",3
"16191","they have yet to",3
"16192","they may have been",3
"16193","they need to get",3
"16194","they need to know",3
"16195","they returned to their",3
"16196","they said they would",3
"16197","they should be able",3
"16198","they still have the",3
"16199","they tend to be",3
"16200","they thought they had",3
"16201","they want to do",3
"16202","they want to go",3
"16203","they want to know",3
"16204","they want to make",3
"16205","they wanted to see",3
"16206","they went to the",3
"16207","they were about to",3
"16208","they were fighting for",3
"16209","they were living in",3
"16210","they were married in",3
"16211","they will continue to",3
"16212","they will have to",3
"16213","they will never be",3
"16214","they would try to",3
"16215","thing about it is",3
"16216","thing in the world",3
"16217","thing is for sure",3
"16218","thing is that there",3
"16219","thing of the past",3
"16220","thing that matters is",3
"16221","thing to do i",3
"16222","thing to do is",3
"16223","thing to keep in",3
"16224","thing you can do",3
"16225","things a little differently",3
"16226","things are going great",3
"16227","things are going to",3
"16228","things i love about",3
"16229","things i want to",3
"16230","things in life are",3
"16231","things in my life",3
"16232","things over and over",3
"16233","things to do before",3
"16234","things to do in",3
"16235","things you can do",3
"16236","things you need to",3
"16237","things you want to",3
"16238","think about it now",3
"16239","think about what it",3
"16240","think he should be",3
"16241","think i may be",3
"16242","think i may have",3
"16243","think i might have",3
"16244","think i will be",3
"16245","think id like to",3
"16246","think its going to",3
"16247","think its safe to",3
"16248","think of all the",3
"16249","think of something to",3
"16250","think that i have",3
"16251","think that is the",3
"16252","think that there is",3
"16253","think that this would",3
"16254","think that was the",3
"16255","think that we have",3
"16256","think there was a",3
"16257","think we can do",3
"16258","thinking about it and",3
"16259","this book in the",3
"16260","this case is about",3
"16261","this could be a",3
"16262","this holiday season you",3
"16263","this i know it",3
"16264","this in my opinion",3
"16265","this in the past",3
"16266","this is a little",3
"16267","this is a new",3
"16268","this is a process",3
"16269","this is a story",3
"16270","this is a wonderful",3
"16271","this is actually the",3
"16272","this is an important",3
"16273","this is an opportunity",3
"16274","this is by far",3
"16275","this is definitely a",3
"16276","this is definitely one",3
"16277","this is exactly what",3
"16278","this is far from",3
"16279","this is good news",3
"16280","this is how the",3
"16281","this is how you",3
"16282","this is in the",3
"16283","this is not an",3
"16284","this is not so",3
"16285","this is of course",3
"16286","this is something you",3
"16287","this is the time",3
"16288","this is the way",3
"16289","this is what happens",3
"16290","this is what he",3
"16291","this is what my",3
"16292","this is what the",3
"16293","this is where i",3
"16294","this is where it",3
"16295","this late in the",3
"16296","this led me to",3
"16297","this means that the",3
"16298","this might be the",3
"16299","this morning i woke",3
"16300","this morning in the",3
"16301","this morning on the",3
"16302","this one has a",3
"16303","this one is a",3
"16304","this past weekend i",3
"16305","this point that the",3
"16306","this season has been",3
"16307","this sounds like a",3
"16308","this time i decided",3
"16309","this time i was",3
"16310","this was the best",3
"16311","this way if you",3
"16312","this we have a",3
"16313","this week and i",3
"16314","this week i was",3
"16315","this would have been",3
"16316","this year and a",3
"16317","this year at the",3
"16318","this year because of",3
"16319","this year i think",3
"16320","this year it is",3
"16321","this year it was",3
"16322","this year we are",3
"16323","this year you can",3
"16324","those of you that",3
"16325","those people who are",3
"16326","those were my babies",3
"16327","those who do not",3
"16328","though i have been",3
"16329","though it was a",3
"16330","thought he was going",3
"16331","thought it was funny",3
"16332","thought that it would",3
"16333","thought that this was",3
"16334","thought they had one",3
"16335","thought they were going",3
"16336","thousands of dollars on",3
"16337","three months after the",3
"16338","three months of 2011",3
"16339","three months of 2012",3
"16340","three months of this",3
"16341","three of the best",3
"16342","three or four years",3
"16343","three pierogi or fries",3
"16344","three runs and drove",3
"16345","three times in his",3
"16346","three-run homer in the",3
"16347","through a lot of",3
"16348","through a process of",3
"16349","through a series of",3
"16350","through all of the",3
"16351","through most of the",3
"16352","through the course of",3
"16353","through the front door",3
"16354","through the rest of",3
"16355","through the use of",3
"16356","throughout the course of",3
"16357","throughout the united states",3
"16358","thx for the follow",3
"16359","time for a nap",3
"16360","time for a new",3
"16361","time for you to",3
"16362","time has come to",3
"16363","time here are some",3
"16364","time i got to",3
"16365","time i had a",3
"16366","time i had to",3
"16367","time i hope to",3
"16368","time i made a",3
"16369","time i need to",3
"16370","time i was in",3
"16371","time i will take",3
"16372","time is running out",3
"16373","time it takes to",3
"16374","time of year most",3
"16375","time out of your",3
"16376","time to be able",3
"16377","time to devote to",3
"16378","time to focus on",3
"16379","time to get back",3
"16380","time to get ready",3
"16381","time to get to",3
"16382","time to get up",3
"16383","time to go to",3
"16384","time to make a",3
"16385","time to move on",3
"16386","time to play with",3
"16387","time to talk about",3
"16388","time to think about",3
"16389","time to time and",3
"16390","time to work on",3
"16391","time you are in",3
"16392","times a day and",3
"16393","times in the past",3
"16394","times of the year",3
"16395","to 20 percent of",3
"16396","to 20 years in",3
"16397","to 4 pm at",3
"16398","to 8 pm friday",3
"16399","to a boil add",3
"16400","to a boil over",3
"16401","to a certain extent",3
"16402","to a change in",3
"16403","to a charge of",3
"16404","to a hate crime",3
"16405","to a lack of",3
"16406","to a number of",3
"16407","to a place of",3
"16408","to a place that",3
"16409","to a point where",3
"16410","to a series of",3
"16411","to a study by",3
"16412","to accept or reject",3
"16413","to act in the",3
"16414","to all of my",3
"16415","to all of them",3
"16416","to all sorts of",3
"16417","to all the moms",3
"16418","to all the people",3
"16419","to allow me to",3
"16420","to an area hospital",3
"16421","to and fro a",3
"16422","to answer any questions",3
"16423","to appeal to the",3
"16424","to back up the",3
"16425","to balance out the",3
"16426","to balance the budget",3
"16427","to bask in the",3
"16428","to be a busy",3
"16429","to be a fun",3
"16430","to be a major",3
"16431","to be a special",3
"16432","to be a strong",3
"16433","to be a success",3
"16434","to be added to",3
"16435","to be an interesting",3
"16436","to be asked to",3
"16437","to be associated with",3
"16438","to be at peace",3
"16439","to be back at",3
"16440","to be better and",3
"16441","to be buried in",3
"16442","to be close to",3
"16443","to be closer to",3
"16444","to be done for",3
"16445","to be exact and",3
"16446","to be fair the",3
"16447","to be followed by",3
"16448","to be grateful for",3
"16449","to be happy in",3
"16450","to be held at",3
"16451","to be here in",3
"16452","to be honest with",3
"16453","to be in charge",3
"16454","to be in trouble",3
"16455","to be influenced by",3
"16456","to be involved in",3
"16457","to be judged by",3
"16458","to be like this",3
"16459","to be living in",3
"16460","to be looking for",3
"16461","to be made to",3
"16462","to be nice to",3
"16463","to be off the",3
"16464","to be on a",3
"16465","to be open and",3
"16466","to be open to",3
"16467","to be picked up",3
"16468","to be playing the",3
"16469","to be proud of",3
"16470","to be put in",3
"16471","to be reckoned with",3
"16472","to be released in",3
"16473","to be reviewed by",3
"16474","to be said for",3
"16475","to be seen in",3
"16476","to be smart about",3
"16477","to be so much",3
"16478","to be some sort",3
"16479","to be surrounded by",3
"16480","to be the hottest",3
"16481","to be there and",3
"16482","to be there for",3
"16483","to be thought of",3
"16484","to be to work",3
"16485","to be willing to",3
"16486","to be with him",3
"16487","to be with me",3
"16488","to be with the",3
"16489","to be with us",3
"16490","to be working for",3
"16491","to be working with",3
"16492","to become one of",3
"16493","to begin with and",3
"16494","to being one of",3
"16495","to believe in the",3
"16496","to believe that there",3
"16497","to break the cycle",3
"16498","to bring their own",3
"16499","to bring to a",3
"16500","to call for an",3
"16501","to call it a",3
"16502","to care for it",3
"16503","to catch up on",3
"16504","to check out my",3
"16505","to check out our",3
"16506","to check out your",3
"16507","to check us out",3
"16508","to click on the",3
"16509","to close the parks",3
"16510","to come back from",3
"16511","to come into the",3
"16512","to come out and",3
"16513","to cover the cost",3
"16514","to cross over to",3
"16515","to deal with it",3
"16516","to determine how much",3
"16517","to do all the",3
"16518","to do and i",3
"16519","to do anything about",3
"16520","to do business with",3
"16521","to do but i",3
"16522","to do for the",3
"16523","to do if you",3
"16524","to do is send",3
"16525","to do it all",3
"16526","to do it at",3
"16527","to do it for",3
"16528","to do it i",3
"16529","to do it right",3
"16530","to do right now",3
"16531","to do so for",3
"16532","to do so i",3
"16533","to do so with",3
"16534","to do so you",3
"16535","to do something for",3
"16536","to do something that",3
"16537","to do something they",3
"16538","to do something to",3
"16539","to do that but",3
"16540","to do that to",3
"16541","to do the best",3
"16542","to do this but",3
"16543","to do this im",3
"16544","to do what he",3
"16545","to do what they",3
"16546","to do what you",3
"16547","to do whatever i",3
"16548","to do whatever it",3
"16549","to do when i",3
"16550","to do with a",3
"16551","to do with all",3
"16552","to do with how",3
"16553","to do with myself",3
"16554","to do with this",3
"16555","to draw the attention",3
"16556","to each other and",3
"16557","to each other they",3
"16558","to eat all the",3
"16559","to eat away at",3
"16560","to end the game",3
"16561","to enter to win",3
"16562","to err on the",3
"16563","to everyone else in",3
"16564","to everyone who came",3
"16565","to explore their world",3
"16566","to express how much",3
"16567","to fall into the",3
"16568","to feed the hungry",3
"16569","to feel like i",3
"16570","to feel like they",3
"16571","to fight to the",3
"16572","to figure it out",3
"16573","to figure out that",3
"16574","to figure out whats",3
"16575","to figure out where",3
"16576","to fill out the",3
"16577","to find a place",3
"16578","to find a reason",3
"16579","to find each other",3
"16580","to find out how",3
"16581","to find out that",3
"16582","to find out whether",3
"16583","to find something to",3
"16584","to find the time",3
"16585","to find their way",3
"16586","to finish off the",3
"16587","to finish up the",3
"16588","to fit in the",3
"16589","to flee the country",3
"16590","to focus more on",3
"16591","to follow me on",3
"16592","to get a feel",3
"16593","to get a good",3
"16594","to get a rise",3
"16595","to get around the",3
"16596","to get at least",3
"16597","to get creative with",3
"16598","to get help in",3
"16599","to get into this",3
"16600","to get it back",3
"16601","to get my hands",3
"16602","to get over the",3
"16603","to get some of",3
"16604","to get started on",3
"16605","to get stuck in",3
"16606","to get that done",3
"16607","to get them out",3
"16608","to get through it",3
"16609","to get through this",3
"16610","to get through to",3
"16611","to get together with",3
"16612","to get up there",3
"16613","to get us to",3
"16614","to get you started",3
"16615","to get you through",3
"16616","to give it up",3
"16617","to give of ourselves",3
"16618","to give them the",3
"16619","to give themselves a",3
"16620","to give to the",3
"16621","to go all the",3
"16622","to go around the",3
"16623","to go down to",3
"16624","to go in and",3
"16625","to go in there",3
"16626","to go into effect",3
"16627","to go outside to",3
"16628","to go through i",3
"16629","to go through the",3
"16630","to go to church",3
"16631","to go to that",3
"16632","to go with it",3
"16633","to great lengths to",3
"16634","to grow up and",3
"16635","to hand it to",3
"16636","to hang out in",3
"16637","to hang up on",3
"16638","to have a big",3
"16639","to have a great",3
"16640","to have a sense",3
"16641","to have access to",3
"16642","to have all of",3
"16643","to have fun and",3
"16644","to have something to",3
"16645","to have the best",3
"16646","to have to do",3
"16647","to have to step",3
"16648","to head to the",3
"16649","to hear about your",3
"16650","to hear that your",3
"16651","to hear what you",3
"16652","to help each other",3
"16653","to help me out",3
"16654","to help people who",3
"16655","to help the us",3
"16656","to help you out",3
"16657","to her husband and",3
"16658","to his victory in",3
"16659","to hit the road",3
"16660","to hold down the",3
"16661","to imagine that this",3
"16662","to it if you",3
"16663","to jump out of",3
"16664","to keep it from",3
"16665","to keep it real",3
"16666","to keep pace with",3
"16667","to kick off the",3
"16668","to kill a mockingbird",3
"16669","to know how much",3
"16670","to know how they",3
"16671","to know if the",3
"16672","to know that the",3
"16673","to know that we",3
"16674","to lead off the",3
"16675","to left in the",3
"16676","to let go and",3
"16677","to let go of",3
"16678","to let it go",3
"16679","to let us know",3
"16680","to link back to",3
